Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
5/04/2022 17:20,Bellsprout,Actividad BigBlueButtonBN visualizada,The user with id 70 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181169205115
5/04/2022 17:03,Caterpie,Se ha abandonado una sesión BigBlueButtonBN,The user with id 82 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.71.103
5/04/2022 17:00,Pidgey,Se ha abandonado una sesión BigBlueButtonBN,The user with id 135 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.167.48.144
5/04/2022 17:00,Jynx,Se ha abandonado una sesión BigBlueButtonBN,The user with id 23 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.128.55
5/04/2022 17:00,Tauros,Se ha abandonado una sesión BigBlueButtonBN,The user with id 111 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.47.206.57
5/04/2022 17:00,Primeape,Se ha abandonado una sesión BigBlueButtonBN,The user with id 131 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.17.163.246
5/04/2022 16:54,Venomoth,Se ha unido a una sesión BigBlueButtonBN,The user with id 25 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,200.127.94.64
5/04/2022 16:54,Venomoth,Actividad BigBlueButtonBN visualizada,The user with id 25 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,200.127.94.64
5/04/2022 16:46,Beedrill,Se ha abandonado una sesión BigBlueButtonBN,The user with id 47 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.17.17.30
5/04/2022 16:40,Golbat,Se ha unido a una sesión BigBlueButtonBN,The user with id 95 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.191.174.92
5/04/2022 16:40,Golbat,Actividad BigBlueButtonBN visualizada,The user with id 95 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.191.174.92
5/04/2022 16:17,Hypno,Actividad BigBlueButtonBN visualizada,The user with id 94 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.76.102
5/04/2022 16:00,Nidoking,Se ha abandonado una sesión BigBlueButtonBN,The user with id 108 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.84.253.96
5/04/2022 15:59,Arbok,Se ha unido a una sesión BigBlueButtonBN,The user with id 120 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170.51.104.92
5/04/2022 15:58,Charmander,Actividad BigBlueButtonBN visualizada,The user with id 21 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.64.234
5/04/2022 15:56,Psyduck,Se ha unido a una sesión BigBlueButtonBN,The user with id 124 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.169.221.42
5/04/2022 15:51,Seel,Se ha unido a una sesión BigBlueButtonBN,The user with id 67 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.134.189
5/04/2022 15:51,Seel,Actividad BigBlueButtonBN visualizada,The user with id 67 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.134.189
5/04/2022 15:51,Seel,Actividad BigBlueButtonBN visualizada,The user with id 67 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.134.189
5/04/2022 15:50,Alakazam,Se ha unido a una sesión BigBlueButtonBN,The user with id 34 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.17.2.248
5/04/2022 15:50,Alakazam,Actividad BigBlueButtonBN visualizada,The user with id 34 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.17.2.248
5/04/2022 15:49,Arbok,Se ha unido a una sesión BigBlueButtonBN,The user with id 120 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170.51.104.92
5/04/2022 15:49,Arbok,Actividad BigBlueButtonBN visualizada,The user with id 120 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170.51.104.92
5/04/2022 15:46,Jolteon,Se ha unido a una sesión BigBlueButtonBN,The user with id 42 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190191135133
5/04/2022 15:45,Jolteon,Se ha unido a una sesión BigBlueButtonBN,The user with id 42 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190191135133
5/04/2022 15:44,Jolteon,Actividad BigBlueButtonBN visualizada,The user with id 42 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190191135133
5/04/2022 15:43,Kakuna,Se ha unido a una sesión BigBlueButtonBN,The user with id 103 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.128.105
5/04/2022 15:42,Kakuna,Actividad BigBlueButtonBN visualizada,The user with id 103 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.128.105
5/04/2022 15:42,Kakuna,Actividad BigBlueButtonBN visualizada,The user with id 103 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.128.105
5/04/2022 15:39,Kakuna,Se ha unido a una sesión BigBlueButtonBN,The user with id 103 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.129.97
5/04/2022 15:39,Kakuna,Actividad BigBlueButtonBN visualizada,The user with id 103 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.129.97
